string,valid
686700,1
X02580,1
688040,1
667960,1
574880,1
532070,1
146300,1
149920,1
149630,1
685380,1
689890,1
J2901A,1
J2891A,1
J1021A,1
684990,1
689350,1
687880,1
47642A,1
688080,1
509890,1
684800,1
J40380,1
J33680,1
151270,1
J2740A,1
J33630,1
689670,1
672880,1
505260,1
505270,1
929040,1
531830,1
693210,1
511550,1
528560,1
530150,1
693100,1
J2729A,1
946750,1
689850,1
148850,1
666880,1
J39440,1
689410,1
514950,1
513690,1
150220,1
685810,1
683560,1
512060,1
68556B,1
685650,1
512450,1
51985E,1
688630,1
693080,1
68397A,1
691060,1
J4734A,1
146640,1
J2908A,1
690610,1
146840,1
J33730,1
685540,1
J46570,1
683530,1
146340,1
J4716A,1
689870,1
688240,1
527620,1
50636B,1
148080,1
528170,1
526530,1
J46420,1
J46370,1
51985A,1
685460,1
685530,1
148100,1
J38030,1
691050,1
J46460,1
15110A,1
509690,1
526640,1
691040,1
683840,1
J39560,1
J39540,1
J39400,1
15067B,1
J39520,1
530340,1
515010,1
X02650,1
511620,1
J4572A,1
J4080A,1
J40540,1
678390,1
530250,1
515430,1
672770,1
531530,1
672730,1
J22260,1
J46180,1
J46200,1
684700,1
532180,1
149550,1
Z12420,1
672800,1
J2852A,1
150840,1
151810,1
693240,1
688310,1
150140,1
680480,1
150170,1
150310,1
150160,1
149350,1
150880,1
688180,1
150510,1
150260,1
150340,1
510150,1
515630,1
514910,1
J47610,1
688110,1
514410,1
513700,1
514420,1
512050,1
J47570,1
512380,1
513710,1
511700,1
511160,1
J2261A,1
511660,1
J40610,1
511060,1
512720,1
688440,1
511630,1
511770,1
X02680,1
J2930A,1
J2242A,1
513260,1
J2238A,1
J33660,1
515640,1
532290,1
515680,1
J33590,1
J4764A,1
J39220,1
150370,1
690180,1
690340,1
J46970,1
J33560,1
691020,1
J39330,1
J39160,1
690430,1
53023A,1
531260,1
690360,1
684520,1
51996B,1
52979A,1
527170,1
529690,1
528180,1
529060,1
687070,1
694110,1
530140,1
J46800,1
525500,1
685400,1
530320,1
530990,1
529760,1
511360,1
511420,1
151950,1
696260,1
511450,1
151610,1
X02770,1
527920,1
147620,1
515050,1
687870,1
690140,1
48723A,1
690550,1
693680,1
532650,1
684620,1
J4361A,1
512810,1
533590,1
692160,1
531300,1
510930,1
J48090,1
151500,1
513570,1
532840,1
J46140,1
J47880,1
J2619A,1
514920,1
685710,1
530630,1
151330,1
J48410,1
525860,1
688750,1
152650,1
J2915A,1
J2916A,1
J2917A,1
693760,1
672870,1
692150,1
152810,1
514800,1
531600,1
152290,1
J2296A,1
529520,1
511440,1
J2285A,1
J4082A,1
694100,1
152200,1
J46160,1
147690,1
516700,1
533460,1
693410,1
J46020,1
147930,1
153160,1
691440,1
668210,1
635740,1
152940,1
693920,1
533330,1
153770,1
151600,1
J46050,1
152920,1
527440,1
532800,1
152600,1
673030,1
684980,1
153350,1
150940,1
691270,1
532530,1
691460,1
691110,1
154980,1
530710,1
69801A,1
533250,1
153110,1
697060,1
151980,1
692200,1
516000,1
691200,1
525880,1
680770,1
148110,1
51423A,1
692610,1
J45900,1
574990,1
J45920,1
J45910,1
J45930,1
J45990,1
696400,1
680710,1
697010,1
691190,1
696650,1
151710,1
X02820,1
153120,1
694170,1
688070,1
690770,1
687600,1
152410,1
J2311A,1
685930,1
J48950,1
529400,1
689490,1
694010,1
687430,1
150490,1
153470,1
J49140,1
515410,1
515350,1
691370,1
698640,1
693380,1
534010,1
J40260,1
533580,1
151410,1
529550,1
152110,1
694630,1
692330,1
533180,1
533350,1
J36750,1
692350,1
517190,1
J2949A,1
J2622A,1
J2931A,1
698240,1
699090,1
Z12560,1
517210,1
532640,1
513350,1
694370,1
694450,1
J4069A,1
514350,1
J2957A,1
69527A,1
J2941A,1
534020,1
J45840,1
515340,1
694240,1
534350,1
153520,1
153240,1
689310,1
533560,1
147140,1
692800,1
J2358A,1
684640,1
153480,1
J5033A,1
J4962A,1
516540,1
J2764A,1
151650,1
154900,1
516950,1
153310,1
J38200,1
692670,1
692630,1
688930,1
689980,1
147240,1
689370,1
533410,1
153040,1
153750,1
151740,1
543370,1
J4994A,1
692650,1
693480,1
694560,1
151470,1
J3492A,1
J2938A,1
690670,1
533490,1
J47230,1
698760,1
52923C,1
J2942A,1
155450,1
J50110,1
J2363A,1
694490,1
698870,1
J5010A,1
698330,1
J47790,1
696840,1
692900,1
J2779A,1
517300,1
533130,1
155240,1
514300,1
64189F,1
533980,1
699150,1
692540,1
533820,1
929360,1
J2769A,1
698310,1
J2381A,1
64189D,1
152880,1
698720,1
517220,1
518330,1
530400,1
J38250,1
530930,1
J4099A,1
517370,1
695950,1
155660,1
155080,1
J2354A,1
J4097A,1
64189E,1
153180,1
J49510,1
688920,1
J47760,1
J47770,1
68751B,1
532670,1
515760,1
698990,1
698110,1
154090,1
154790,1
64189H,1
15577A,1
53237A,1
X02930,1
152460,1
698730,1
534630,1
J49900,1
695240,1
683950,1
694350,1
690960,1
148460,1
147890,1
156800,1
69514B,1
690930,1
156100,1
694690,1
514660,1
517840,1
699530,1
699520,1
514560,1
696040,1
689950,1
156200,1
534440,1
50841F,1
50841D,1
517480,1
155620,1
697970,1
157290,1
155540,1
697160,1
695400,1
155150,1
J38290,1
695260,1
157380,1
J50780,1
154710,1
694610,1
698060,1
154700,1
699620,1
154590,1
155030,1
697570,1
699120,1
698950,1
52924A,1
699280,1
155140,1
J2787A,1
153060,1
685370,1
697940,1
J49810,1
694510,1
154580,1
J49750,1
157880,1
J49640,1
J49820,1
535780,1
535950,1
Z12670,1
J51410,1
695350,1
154750,1
69539B,1
684650,1
153270,1
534240,1
533950,1
694600,1
518400,1
676990,1
51591B,1
534360,1
698530,1
694520,1
154180,1
691580,1
J2984A,1
698070,1
J51420,1
J2960A,1
Z12690,1
900550,1
695370,1
53489A,1
518760,1
148350,1
J50220,1
696290,1
536440,1
J5148A,1
J5152A,1
900460,1
696990,1
690010,1
699110,1
535420,1
687390,1
900860,1
699650,1
695700,1
695810,1
J2387A,1
J3498A,1
535260,1
156150,1
900600,1
53227D,1
68727C,1
695520,1
155480,1
901110,1
J24090,1
J51560,1
J2400A,1
J2790A,1
154190,1
52122A,1
158030,1
J48930,1
157350,1
157510,1
158140,1
697350,1
J24410,1
536130,1
J24450,1
157070,1
900630,1
677540,1
536580,1
536060,1
535350,1
536240,1
901390,1
534080,1
900900,1
157010,1
695760,1
158360,1
901560,1
534950,1
J5158A,1
519630,1
157110,1
J49300,1
